client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
d6e6d3f48e882e2df7db537f9132de2bfdd1663884bcae4c24e2b77cc3b4913ffcd710ebe920e260ea2997629fcc2ef0ac232cdc24a208f907e23213dc58aa55	common_voice_vi_22344040.mp3	vong thường yếu lắm	1	1				vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402288.mp3	Nhất là lại nhớ đến người phụ nữ dân tộc kia	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402299.mp3	Chứ không phải là gần đây Cứ nửa đêm	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402321.mp3	quá khứ anh, anh không nhắc cùng em.	0	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402322.mp3	Như không khí, như màu xanh lá cỏ	1	1	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402377.mp3	Thơ tình cuối mùa thu	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402413.mp3	gian khổ	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402445.mp3	Anh thích thì lát nữa tôi sẽ tặng anh	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402465.mp3	rồi nhẹ nhàng đóng cửa lại	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402464.mp3	Đến việc khiến cho cái Hà với cái Phương bị tai nạn	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402503.mp3	Có cái chuyện ban nãy là tao nói thật đấy	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402502.mp3	bàn chân nào ở lại	0	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402504.mp3	Đừng nghĩ quẩn anh nhé	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402603.mp3	nhưng do sợ nên Trinh không dám nhận đó là bạn của mình	0	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402610.mp3	Mưa lớn biết bao!	1	1	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402616.mp3	Sao sao à ừ tớ thấy trong người không được khỏe	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402617.mp3	giờ mày nói cái vụ đi ăn	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402609.mp3	Trên tay của Trinh đủ các loại bánh kẹo đồ chơi mới	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22402622.mp3	Chỉ có điều là không thể nhìn thấy	1	0	twenties	male		vi	
e3e2b2e16592c532ea75a025969fa0ab1159b0ccdf9373dfeed487d4d5da1d8a52755231e23a7a78f934eac723bbdc8301adaf11b9b4d162dfc567f411991418	common_voice_vi_22416752.mp3	Hà ni bây giờ mới lên tiếng	1	0	twenties	male		vi	
